Altium Designer Pick and Place Locations
C:\Users\emoo\Documents\UBX\Projects\C210\Rev B-Release\.\Fabrication\Pick Place\C210_Rev B.csv

========================================================================================================================
File Design Information:

Date:       01/06/22
Time:       15:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C95","120-000160.1uF","TopLayer","CAP_0402_HD","54.6182","76.1296","180","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"C94","120-000204.7uF","TopLayer","CAP_0402_HD","55.2500","72.1250","0","Cap, Ceramic 4.7uF 10V 20% X5R 0402"
"U34","","TopLayer","SOT-23-5_2","56.8750","74.6582","90","Load Switch, 400mA, 1.8-5.5V, Active High Enable, SOT-23-5"
"D14","LTST-C190YKT","TopLayer","LTST-C190YKT","14.7250","66.9750","270","DIODE, LED, SMT, YELLOW, CLEAR LENS, 2.1V 10mA, 0603"
"R129","180-000541M","TopLayer","RES_0402_HD","40.9000","45.2750","270","Resistor 1M ohm 1%, 1/16W, 0402"
"Q28","140-00030","TopLayer","SOT-563","45.0750","38.0000","0","MOSFET N/P-CH 20V SOT-563, 540 mA, -430 mA"
"U33","SKY13585-679LF:","TopLayer","SKY13585-679LF","51.5792","43.5828","0","RF SWITCH, SPDT, I2C, 3-AXIS, 3-5V, 1-6GHz, SMT, DFN-6, 1mmX1mm"
"U32","SKY13585-679LF:","TopLayer","SKY13585-679LF","41.4355","42.9828","180","RF SWITCH, SPDT, I2C, 3-AXIS, 3-5V, 1-6GHz, SMT, DFN-6, 1mmX1mm"
"R128","180-000541M","TopLayer","RES_0402_HD","45.3750","39.4250","180","Resistor 1M ohm 1%, 1/16W, 0402"
"NO6","Solderbridge-OpenDNP","TopLayer","SOLDERBRIDGE-OPEN","47.2374","36.6250","0","Solderbridge-Open"
"C142","120-00223100µF","TopLayer","CAP_1210","47.3551","71.7480","90","100µF ±20% 10V Ceramic Capacitor X5R 1210 (3225 Metric)"
"C141","120-000160.1uF","TopLayer","CAP_0402_HD","40.2750","33.7793","90","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"BTN5","135-00007","TopLayer","B3U-1000P","65.0000","103.5000","90","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"BTN4","135-00007","TopLayer","B3U-1000P","56.0000","103.5000","90","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"R2","180-000541M","TopLayer","RES_0402_HD","59.0000","102.5000","90","Resistor 1M ohm 1%, 1/16W, 0402"
"R3","180-000541M","TopLayer","RES_0402_HD","62.0000","102.5000","270","Resistor 1M ohm 1%, 1/16W, 0402"
"Q1","140-00016","TopLayer","SOT-563","60.5000","102.5000","180","MOSFET 2N-CH 20V 0.8A, SOT-563"
"D2","110-00041","TopLayer","SOD-523_ALT","58.0000","102.5000","90","Diode TVS 5VWM BiDIR SOD523"
"D3","110-00041","TopLayer","SOD-523_ALT","63.0000","102.5000","90","Diode TVS 5VWM BiDIR SOD523"
"P1","SIM8065","TopLayer","SIM6065-6-1-14-01-A","7.7850","113.1000","90","NANO SIM SOCKET, SWITCH, SMT, PUSH-PUSH, 13mmX14mm"
