Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\C210 Rev_D\.\Fabrication\Pick Place\UBXH60-0000778_Rev D.csv

========================================================================================================================
File Design Information:

Date:       21/12/22
Time:       12:40
Revision:   04f11c285bf41386b252610882419a71e561a7d0
Variant:    C210_Final
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"NO2","Solderbridge-OpenDNP","TopLayer","Solderbridge-Open","64.7987","34.1058","0","Solderbridge-Open"
"R88","180-000541M","TopLayer","RES_0402_HD","20.6097","43.2414","270","Resistor 1M ohm 1%, 1/16W, 0402"
"R202","180-000120R","BottomLayer","RES_0603_HD","64.8000","52.5676","180","Resistor 0 ohm Jumper, 1/10W, 0603"
"R200","180-000120R","BottomLayer","RES_0603_HD","61.7132","51.8806","90","Resistor 0 ohm Jumper, 1/10W, 0603"
"J6","130-00105","TopLayer","HDR-0.1P-3Pin-1Row-SMT","59.4081","30.4368","270","Header, 0.100" Pitch, 3 Pin, Vertical SMT, Black"
"J13","","TopLayer","AVX/KYOCERA_-_046284005001846","4.9250","86.4000","270","CON FFC/FPC 0.50mm 5Pos R/A, 046284005001846"
"J1","10129380-902001ALF","TopLayer","HDR-0.1P-2PIN-1ROW-SMT","45.9500","33.8668","180","Header, 0.100" Pitch, 2 Pin, Vertical SMT, Black"
"U18","250-00039","TopLayer","DFN0.65P-8Pin","35.7689","13.6282","180","SENSOR PRESSURE HUMIDITY TEMP"
"C72","120-000160.1uF","TopLayer","Cap_0402_HD","37.5389","13.2627","270","Cap, Ceramic 0.1uF 10V 10% X5R 0402"
"U22","TXS0102YZP","TopLayer","TXS0102YZP","61.9382","50.4750","180","IC, SMT, LEVEL TRANSLATOR, DUAL, BIDIRECTIONAL, DSBGA-8 1.9mmX0.9mm"
"U21","TXS0102YZP","TopLayer","TXS0102YZP","58.2882","50.5283","0","IC, SMT, LEVEL TRANSLATOR, DUAL, BIDIRECTIONAL, DSBGA-8 1.9mmX0.9mm"
